type,size,time
strassen,242,7
traditional,242,7
strassen,243,7
traditional,243,7
strassen,244,6
traditional,244,7
strassen,245,10
traditional,245,8
strassen,246,7
traditional,246,11
strassen,247,9
traditional,247,9
strassen,248,8
traditional,248,9
strassen,249,8
traditional,249,9
strassen,250,8
traditional,250,9
strassen,251,8
traditional,251,9
strassen,252,7
traditional,252,9
strassen,253,8
traditional,253,9
strassen,254,8
traditional,254,9
strassen,255,8
traditional,255,9
strassen,256,7
traditional,256,8
strassen,257,9
traditional,257,9
strassen,258,8
traditional,258,8
strassen,259,8
traditional,259,9
strassen,260,8
traditional,260,9
strassen,261,9
traditional,261,9
strassen,262,8
traditional,262,9
strassen,263,8
traditional,263,10
strassen,264,8
traditional,264,9
strassen,265,7
traditional,265,8
strassen,266,8
traditional,266,8
strassen,267,7
traditional,267,9
strassen,268,7
traditional,268,8
strassen,269,8
traditional,269,9
strassen,270,8
traditional,270,8
strassen,271,8
traditional,271,9
strassen,272,8
traditional,272,9
strassen,273,8
traditional,273,9
strassen,274,9
traditional,274,9
strassen,275,9
traditional,275,9
strassen,276,8
traditional,276,9
strassen,277,9
traditional,277,9
strassen,278,9
traditional,278,10
strassen,279,9
traditional,279,11
strassen,280,8
traditional,280,10
strassen,281,9
traditional,281,10
strassen,282,9
traditional,282,10
strassen,283,9
traditional,283,10
strassen,284,8
traditional,284,10
strassen,285,9
traditional,285,10
strassen,286,9
traditional,286,10
strassen,287,10
traditional,287,11
strassen,288,9
traditional,288,11
strassen,289,11
traditional,289,12
strassen,290,11
traditional,290,10
strassen,291,10
traditional,291,11
strassen,292,9
traditional,292,13
strassen,293,11
traditional,293,13
strassen,294,11
traditional,294,11
strassen,295,10
traditional,295,11
strassen,296,10
traditional,296,11
strassen,297,11
traditional,297,11
strassen,298,10
traditional,298,12
strassen,299,10
traditional,299,12
strassen,300,10
traditional,300,12
strassen,301,11
traditional,301,11
strassen,302,10
traditional,302,12
strassen,303,12
traditional,303,12
strassen,304,11
traditional,304,12
strassen,305,11
traditional,305,12
strassen,306,11
traditional,306,12
strassen,307,11
traditional,307,14
strassen,308,11
traditional,308,13
strassen,309,14
traditional,309,15
strassen,310,14
traditional,310,15
strassen,311,13
traditional,311,15
strassen,312,12
traditional,312,13
strassen,313,13
traditional,313,13
strassen,314,12
traditional,314,13
strassen,315,12
traditional,315,14
strassen,316,13
traditional,316,14
strassen,317,13
traditional,317,14
strassen,318,13
traditional,318,15
strassen,319,13
traditional,319,14
strassen,320,12
traditional,320,14
strassen,321,13
traditional,321,14
strassen,322,13
traditional,322,14
strassen,323,14
traditional,323,15
strassen,324,12
traditional,324,15
strassen,325,14
traditional,325,15
strassen,326,13
traditional,326,15
strassen,327,13
traditional,327,18
strassen,328,14
traditional,328,14
strassen,329,13
traditional,329,15
strassen,330,13
traditional,330,15
strassen,331,14
traditional,331,16
strassen,332,15
traditional,332,16
strassen,333,15
traditional,333,16
strassen,334,15
traditional,334,16
strassen,335,15
traditional,335,17
strassen,336,14
traditional,336,17
strassen,337,17
traditional,337,16
strassen,338,15
traditional,338,17
strassen,339,15
traditional,339,19
strassen,340,16
traditional,340,20
strassen,341,18
traditional,341,20
strassen,342,18
traditional,342,20
strassen,343,18
traditional,343,21
strassen,344,18
traditional,344,20
strassen,345,18
traditional,345,20
strassen,346,18
traditional,346,21
strassen,347,18
traditional,347,22
strassen,348,17
traditional,348,21
strassen,349,19
traditional,349,19
strassen,350,18
traditional,350,21
strassen,351,20
traditional,351,23
strassen,352,19
traditional,352,22
strassen,353,20
traditional,353,22
strassen,354,20
traditional,354,21
strassen,355,19
traditional,355,22
strassen,356,18
traditional,356,21
strassen,357,19
traditional,357,21
strassen,358,19
traditional,358,21
strassen,359,20
traditional,359,22
strassen,360,20
traditional,360,23
strassen,361,20
traditional,361,24
strassen,362,20
traditional,362,24
strassen,363,21
traditional,363,24
strassen,364,20
traditional,364,24
strassen,365,22
traditional,365,24
strassen,366,22
traditional,366,24
strassen,367,22
traditional,367,25
strassen,368,21
traditional,368,24
strassen,369,22
traditional,369,24
strassen,370,21
traditional,370,24
strassen,371,20
traditional,371,25
strassen,372,20
traditional,372,23
strassen,373,24
traditional,373,25
strassen,374,24
traditional,374,25
strassen,375,22
traditional,375,23
strassen,376,21
traditional,376,23
strassen,377,22
traditional,377,23
strassen,378,20
traditional,378,23
strassen,379,20
traditional,379,27
strassen,380,23
traditional,380,26
strassen,381,25
traditional,381,27
strassen,382,22
traditional,382,23
strassen,383,21
traditional,383,24
strassen,384,23
traditional,384,26
strassen,385,23
traditional,385,25
strassen,386,22
traditional,386,24
strassen,387,21
traditional,387,24
strassen,388,20
traditional,388,24
strassen,389,25
traditional,389,25
strassen,390,25
traditional,390,25
strassen,391,24
traditional,391,26
strassen,392,24
traditional,392,25
strassen,393,23
traditional,393,26
strassen,394,28
traditional,394,29
strassen,395,23
traditional,395,26
strassen,396,22
traditional,396,26
strassen,397,25
traditional,397,27
strassen,398,27
traditional,398,30
strassen,399,30
traditional,399,32
strassen,400,30
traditional,400,31
strassen,401,30
traditional,401,32
strassen,402,31
traditional,402,32
strassen,403,29
traditional,403,32
strassen,404,29
traditional,404,31
strassen,405,33
traditional,405,32
strassen,406,30
traditional,406,31
strassen,407,31
traditional,407,34
strassen,408,31
traditional,408,33
strassen,409,32
traditional,409,34
strassen,410,31
traditional,410,33
strassen,411,30
traditional,411,34
strassen,412,30
traditional,412,34
strassen,413,33
traditional,413,32
strassen,414,32
traditional,414,33
strassen,415,32
traditional,415,33
strassen,416,35
traditional,416,36
strassen,417,36
traditional,417,36
strassen,418,33
traditional,418,35
strassen,419,33
traditional,419,36
strassen,420,33
traditional,420,34
strassen,421,35
traditional,421,36
strassen,422,35
traditional,422,37
strassen,423,35
traditional,423,38
strassen,424,35
traditional,424,37
strassen,425,36
traditional,425,38
strassen,426,35
traditional,426,38
strassen,427,36
traditional,427,38
strassen,428,35
traditional,428,38
strassen,429,38
traditional,429,38
strassen,430,37
traditional,430,39
strassen,431,38
traditional,431,39
strassen,432,39
traditional,432,39
strassen,433,39
traditional,433,39
strassen,434,38
traditional,434,40
strassen,435,39
traditional,435,40
strassen,436,37
traditional,436,39
strassen,437,38
traditional,437,37
strassen,438,35
traditional,438,37
strassen,439,37
traditional,439,38
strassen,440,36
traditional,440,38
strassen,441,37
traditional,441,38
strassen,442,37
traditional,442,41
strassen,443,40
traditional,443,42
strassen,444,35
traditional,444,38
strassen,445,42
traditional,445,42
strassen,446,41
traditional,446,41
strassen,447,40
traditional,447,44
strassen,448,38
traditional,448,37
strassen,449,40
traditional,449,38
strassen,450,35
traditional,450,38
strassen,451,37
traditional,451,38
strassen,452,37
traditional,452,38
strassen,453,37
traditional,453,38
strassen,454,36
traditional,454,38
strassen,455,38
traditional,455,43
strassen,456,36
traditional,456,38
strassen,457,37
traditional,457,39
strassen,458,37
traditional,458,40
strassen,459,38
traditional,459,41
strassen,460,36
traditional,460,40
strassen,461,40
traditional,461,45
strassen,462,42
traditional,462,41
strassen,463,40
traditional,463,41
strassen,464,40
traditional,464,45
strassen,465,51
traditional,465,48
strassen,466,47
traditional,466,45
strassen,467,45
traditional,467,46
strassen,468,45
traditional,468,49
strassen,469,48
traditional,469,50
strassen,470,46
traditional,470,48
strassen,471,44
traditional,471,50
strassen,472,44
traditional,472,45
strassen,473,41
traditional,473,43
strassen,474,41
traditional,474,47
strassen,475,49
traditional,475,51
strassen,476,44
traditional,476,44
strassen,477,45
traditional,477,48
strassen,478,43
traditional,478,44
strassen,479,44
traditional,479,46
strassen,480,45
traditional,480,44
strassen,481,47
traditional,481,53
strassen,482,53
traditional,482,54
strassen,483,50
traditional,483,56
strassen,484,50
traditional,484,51
strassen,485,51
traditional,485,55
strassen,486,52
traditional,486,55
strassen,487,52
traditional,487,57
strassen,488,51
traditional,488,52
strassen,489,50
traditional,489,55
strassen,490,49
traditional,490,53
strassen,491,50
traditional,491,54
strassen,492,51
traditional,492,53
strassen,493,53
traditional,493,56
strassen,494,58
traditional,494,60
strassen,495,60
traditional,495,59
strassen,496,57
traditional,496,55
strassen,497,58
traditional,497,58
strassen,498,58
traditional,498,58
strassen,499,55
traditional,499,60
strassen,500,54
traditional,500,58
strassen,501,58
traditional,501,57
strassen,502,56
traditional,502,60
strassen,503,61
traditional,503,59
strassen,504,57
traditional,504,62
strassen,505,58
traditional,505,62
strassen,506,55
traditional,506,62
strassen,507,57
traditional,507,58
strassen,508,54
traditional,508,60
strassen,509,59
traditional,509,60
strassen,510,57
traditional,510,61
strassen,511,60
traditional,511,60
strassen,512,59
traditional,512,60
strassen,513,61
traditional,513,61
strassen,514,60
traditional,514,62
strassen,515,59
traditional,515,66
strassen,516,61
traditional,516,64
strassen,517,61
traditional,517,61
strassen,518,58
traditional,518,62
strassen,519,59
traditional,519,63
strassen,520,56
traditional,520,64
strassen,521,59
traditional,521,67
strassen,522,59
traditional,522,63
strassen,523,64
traditional,523,69
strassen,524,63
traditional,524,64
strassen,525,63
traditional,525,65
strassen,526,62
traditional,526,63
strassen,527,63
traditional,527,65
strassen,528,64
traditional,528,65
strassen,529,64
traditional,529,68
strassen,530,66
traditional,530,65
strassen,531,63
traditional,531,66
strassen,532,64
traditional,532,67
strassen,533,65
traditional,533,69
strassen,534,66
traditional,534,67
strassen,535,63
traditional,535,69
strassen,536,63
traditional,536,68
strassen,537,59
traditional,537,66
strassen,538,57
traditional,538,65
strassen,539,68
traditional,539,75
strassen,540,69
traditional,540,73
strassen,541,71
traditional,541,71
strassen,542,66
traditional,542,72
strassen,543,70
traditional,543,73
strassen,544,72
traditional,544,76
strassen,545,74
traditional,545,77
strassen,546,74
traditional,546,76
strassen,547,75
traditional,547,78
strassen,548,71
traditional,548,77
strassen,549,75
traditional,549,78
strassen,550,72
traditional,550,75
strassen,551,69
traditional,551,79
strassen,552,72
traditional,552,78
strassen,553,74
traditional,553,81
strassen,554,73
traditional,554,79
strassen,555,76
traditional,555,78
strassen,556,72
traditional,556,75
strassen,557,77
traditional,557,80
strassen,558,71
traditional,558,73
strassen,559,75
traditional,559,79
strassen,560,75
traditional,560,78
strassen,561,80
traditional,561,77
strassen,562,69
traditional,562,70
strassen,563,70
traditional,563,76
strassen,564,79
traditional,564,85
strassen,565,79
traditional,565,89
strassen,566,73
traditional,566,80
strassen,567,77
traditional,567,75
strassen,568,68
traditional,568,78
strassen,569,75
traditional,569,77
strassen,570,74
traditional,570,78
strassen,571,69
traditional,571,86
strassen,572,80
traditional,572,78
strassen,573,81
traditional,573,86
strassen,574,84
traditional,574,92
strassen,575,87
traditional,575,99
strassen,576,86
traditional,576,86
strassen,577,78
traditional,577,93
strassen,578,86
traditional,578,87
strassen,579,81
traditional,579,87
strassen,580,81
traditional,580,88
strassen,581,82
traditional,581,87
strassen,582,84
traditional,582,92
strassen,583,86
traditional,583,92
strassen,584,84
traditional,584,93
strassen,585,88
traditional,585,94
strassen,586,84
traditional,586,94
strassen,587,87
traditional,587,96
strassen,588,87
traditional,588,88
strassen,589,79
traditional,589,88
strassen,590,88
traditional,590,81
strassen,591,85
traditional,591,82
strassen,592,78
traditional,592,83
strassen,593,80
traditional,593,84
strassen,594,82
traditional,594,83
strassen,595,79
traditional,595,85
strassen,596,81
traditional,596,82
strassen,597,84
traditional,597,84
strassen,598,78
traditional,598,85
strassen,599,84
traditional,599,89
strassen,600,84
traditional,600,85
strassen,601,80
traditional,601,87
strassen,602,91
traditional,602,103
strassen,603,94
traditional,603,103
strassen,604,92
traditional,604,100
strassen,605,101
traditional,605,107
strassen,606,96
traditional,606,105
strassen,607,101
traditional,607,113
strassen,608,102
traditional,608,109
strassen,609,105
traditional,609,115
strassen,610,100
traditional,610,130
strassen,611,101
traditional,611,98
strassen,612,99
traditional,612,108
strassen,613,106
traditional,613,109
strassen,614,100
traditional,614,107
strassen,615,104
traditional,615,107
strassen,616,96
traditional,616,107
strassen,617,104
traditional,617,112
strassen,618,101
traditional,618,111
strassen,619,102
traditional,619,112
strassen,620,101
traditional,620,111
strassen,621,97
traditional,621,113
strassen,622,104
traditional,622,113
strassen,623,108
traditional,623,113
strassen,624,102
traditional,624,113
strassen,625,109
traditional,625,115
strassen,626,108
traditional,626,113
strassen,627,107
traditional,627,117
strassen,628,109
traditional,628,112
strassen,629,107
traditional,629,119
strassen,630,109
traditional,630,116
strassen,631,107
traditional,631,110
strassen,632,92
traditional,632,103
strassen,633,107
traditional,633,102
strassen,634,98
traditional,634,120
strassen,635,111
traditional,635,124
strassen,636,105
traditional,636,108
strassen,637,99
traditional,637,117
strassen,638,99
traditional,638,102
strassen,639,101
traditional,639,105
strassen,640,96
traditional,640,103
strassen,641,100
traditional,641,105
strassen,642,102
traditional,642,121
strassen,643,110
traditional,643,124
strassen,644,113
traditional,644,123
strassen,645,118
traditional,645,125
strassen,646,113
traditional,646,121
strassen,647,113
traditional,647,122
strassen,648,109
traditional,648,115
strassen,649,110
traditional,649,118
strassen,650,112
traditional,650,119
strassen,651,113
traditional,651,121
strassen,652,112
traditional,652,130
strassen,653,116
traditional,653,123
strassen,654,118
traditional,654,128
strassen,655,114
traditional,655,124
strassen,656,115
traditional,656,121
strassen,657,126
traditional,657,131
strassen,658,118
traditional,658,124
strassen,659,116
traditional,659,128
strassen,660,114
traditional,660,123
strassen,661,121
traditional,661,135
strassen,662,123
traditional,662,135
strassen,663,124
traditional,663,127
strassen,664,121
traditional,664,137
strassen,665,123
traditional,665,126
strassen,666,123
traditional,666,137
strassen,667,121
traditional,667,132
strassen,668,118
traditional,668,136
strassen,669,127
traditional,669,135
strassen,670,122
traditional,670,132
strassen,671,127
traditional,671,140
strassen,672,123
traditional,672,129
strassen,673,128
traditional,673,133
strassen,674,134
traditional,674,135
strassen,675,123
traditional,675,136
strassen,676,129
traditional,676,135
strassen,677,129
traditional,677,142
strassen,678,127
traditional,678,147
strassen,679,132
traditional,679,147
strassen,680,126
traditional,680,125
strassen,681,115
traditional,681,138
strassen,682,118
traditional,682,126
strassen,683,116
traditional,683,126
strassen,684,115
traditional,684,126
strassen,685,125
traditional,685,128
strassen,686,118
traditional,686,131
strassen,687,123
traditional,687,131
strassen,688,121
traditional,688,134
strassen,689,126
traditional,689,132
strassen,690,124
traditional,690,132
strassen,691,121
traditional,691,136
strassen,692,139
traditional,692,146
strassen,693,123
traditional,693,133
strassen,694,138
traditional,694,132
strassen,695,123
traditional,695,133
strassen,696,122
traditional,696,131
strassen,697,124
traditional,697,135
strassen,698,127
traditional,698,158
strassen,699,125
traditional,699,141
strassen,700,141
traditional,700,144
strassen,701,135
traditional,701,157
strassen,702,129
traditional,702,159
strassen,703,151
traditional,703,158
strassen,704,148
traditional,704,170
strassen,705,147
traditional,705,163
strassen,706,154
traditional,706,174
strassen,707,145
traditional,707,148
strassen,708,139
traditional,708,150
strassen,709,143
traditional,709,144
strassen,710,148
traditional,710,162
strassen,711,136
traditional,711,171
strassen,712,149
traditional,712,162
strassen,713,147
traditional,713,160
strassen,714,146
traditional,714,172
strassen,715,156
traditional,715,165
strassen,716,150
traditional,716,159
strassen,717,145
traditional,717,157
strassen,718,144
traditional,718,165
strassen,719,144
traditional,719,163
strassen,720,149
traditional,720,150
strassen,721,155
traditional,721,165
strassen,722,151
traditional,722,170
strassen,723,148
traditional,723,154
strassen,724,148
traditional,724,167
strassen,725,149
traditional,725,166
strassen,726,158
traditional,726,156
strassen,727,153
traditional,727,165
strassen,728,143
traditional,728,166
strassen,729,154
traditional,729,166
strassen,730,148
traditional,730,168
strassen,731,154
traditional,731,165
strassen,732,169
traditional,732,197
strassen,733,167
traditional,733,157
strassen,734,158
traditional,734,192
strassen,735,175
traditional,735,173
strassen,736,156
traditional,736,181
strassen,737,165
traditional,737,167
strassen,738,171
traditional,738,176
strassen,739,151
traditional,739,180
strassen,740,161
traditional,740,164
strassen,741,164
traditional,741,181
strassen,742,157
traditional,742,177
strassen,743,166
traditional,743,163
strassen,744,161
traditional,744,182
strassen,745,154
traditional,745,185
strassen,746,161
traditional,746,171
strassen,747,164
traditional,747,182
strassen,748,154
traditional,748,179
strassen,749,169
traditional,749,184
strassen,750,167
traditional,750,176
